0.003084,0.016465,0.021948,0.027205,0.039767,0.043807,0.055634,0.057226,0.058325,0.063025,0.068625,0.074997,0.08083,0.085703,0.097726,0.110992,0.112067,0.118538,0.122722,0.135306,0.137034,0.149511,0.154835,0.159288,0.171306,0.177891,0.182988,0.18329,0.19631,0.197164,0.200933,0.205711,0.216981,0.217483,0.221163,0.225322,0.233514,0.237735,0.250489,0.251926,0.259056,0.271865,0.284386,0.285134,0.29959,0.305077,0.319055,0.320772,0.322607,0.33719,0.350325,0.362567,0.376234,0.390401,0.395894,0.397273,0.410299,0.42441,0.427751,0.428011,0.431375,0.447205,0.455303,0.468508,0.469889,0.47457,0.488887,0.489354,0.498873,0.501186,0.508288,0.508526,0.509959,0.510567,0.51159,0.513986,0.527524,0.541359,0.545993,0.558675,0.560016,0.575124,0.589184,0.591375,0.604699,0.605305,0.606381,0.619582,0.621929,0.635479,0.636156,0.649213,0.652836,0.660811,0.674325,0.675274,0.684278,0.689693,0.694244,0.705685,
0.709981,0.712738,0.723014,0.734297,0.734872,0.741765,0.756876,0.766112,0.768,0.768589,0.774785,0.776937,0.788126,0.789235,0.795906,0.80279,0.809165,0.822253,0.824757,0.829077,0.840029,0.844853,0.857933,0.858975,0.863788,0.868867,0.871895,0.884351,0.886841,0.897679,0.911129,0.914887,0.925379,0.931995,0.936247,0.94584,0.959206,0.959457,0.961121,0.963163,0.965889,0.966601,0.978801,0.979272,0.995897,1.004468,1.013479,1.024917,1.025985,1.039461,1.041771,1.05311,1.058794,1.072353,1.072644,1.07558,1.079148,1.081617,1.083599,1.086087,1.087592,1.088835,1.08977,1.090631,1.103986,1.104586,1.110555,1.11136,1.115449,1.11682,1.118526,1.127859,1.129622,1.12982,1.130141,1.132991,1.137339,1.137936,1.14227,1.14916,1.163326,1.164474,1.174413,1.174797,1.175445,1.188774,1.191439,1.19197,1.192818,1.19376,1.200845,1.203034,1.203218,1.204406,1.218141,1.219403,1.229214,1.241881,1.242355,1.247152,
1.248598,1.256821,1.262923,1.277253,1.278517,1.292479,1.294627,1.296132,1.31183,1.313401,1.327814,1.33457,1.340364,1.34544,1.354196,1.367246,1.368002,1.3776,1.378006,1.380397,1.39057,1.391084,1.405342,1.413042,1.41325,1.425162,1.427345,1.42768,1.429203,1.436199,1.449937,1.452404,1.460877,1.474115,1.482336,1.485811,1.494986,1.498391,1.498715,1.504707,1.504874,1.50524,1.518937,1.521613,1.535622,1.543177,1.552669,1.557603,1.557764,1.566528,1.577221,1.587264,1.597446,1.606922,1.617178,1.625527,1.626415,1.627521,1.638569,1.644863,1.645121,1.658808,1.660054,1.664303,1.668617,1.670554,1.671717,1.677898,1.686045,1.699006,1.700799,1.715082,1.725795,1.735774,1.739987,1.754416,1.754937,1.766616,1.767337,1.770091,1.77173,1.780848,1.787276,1.807919,1.815613,1.816065,1.819705,1.836141,1.850251,1.862034,1.865507,1.868864,1.869724,1.882752,1.884236,1.888045,1.898991,1.912526,1.918242,1.931724,
1.939335,1.943127,1.947103,1.955897,1.95727,1.961848,1.962156,1.968186,1.968485,1.970812,1.9844,1.994947,1.995738,1.997441,2.004426,2.017901,2.025462,2.039409,2.051876,2.057023,2.065332,2.067363,2.06781,2.080609,2.092449,2.093037,2.103118,2.105625,2.109197,2.122694,2.123469,2.126061,2.135584,2.148393,2.149324,2.15322,2.158538,2.166943,2.17149,2.178794,2.182454,2.183502,2.186522,2.193933,2.204306,2.212425,2.213754,2.214219,2.215568,2.227698,2.230234,2.23096,2.243598,2.25444,2.26017,2.260539,2.267739,2.27067,2.272712,2.274543,2.284187,2.28886,2.291844,2.303546,2.305733,2.313382,2.316329,2.325316,2.330137,2.331536,2.339826,2.346285,2.35756,2.370569,2.380324,2.38317,2.386897,2.3884,2.390326,2.394039,2.399595,2.402767,2.403906,2.408892,2.409446,2.413422,2.426592,2.433697,2.43428,2.435351,2.437009,2.444366,2.453644,2.454148,2.454492,2.455703,2.468566,2.481744,2.49138,2.492058,
2.497772,2.501246,2.507824,2.520723,2.522109,2.52329,2.526586,2.535672,2.537244,2.538709,2.546015,2.546595,2.56004,2.560638,2.573571,2.574953,2.575574,2.592366,2.595676,2.596298,2.602677,2.607877,2.616247,2.617255,2.618848,2.627434,2.627849,2.628778,2.629488,2.631275,2.636238,2.646462,2.653556,2.656054,2.663271,2.666251,2.670155,2.679601,2.681128,2.683942,2.684686,2.698069,2.701547,2.701998,2.702212,2.714327,2.721628,2.735077,2.744485,2.748439,2.748737,2.752929,2.753727,2.762329,2.771089,2.77631,2.782363,2.790374,2.793692,2.799259,2.804221,2.805209,2.808846,2.818369,2.826533,2.826748,2.835878,2.837826,2.844739,2.91359,2.930548,2.933505,2.95017,2.952624,2.967032,2.975442,2.980523,2.994007,3.004558,3.008312,3.01364,3.018022,3.0213,3.033908,3.042321,3.056986,3.06504,3.067918,3.068284,3.074272,3.078438,3.091514,3.096096,3.101258,3.103592,3.109709,3.123048,3.123373,3.124086,3.131726,
0.006562,0.014387,0.021062,0.031853,0.032962,0.044498,0.048139,0.061943,0.063697,0.078068,0.080779,0.094197,0.107835,0.121652,0.13384,0.143003,0.144048,0.144644,0.146518,0.14778,0.149923,0.163075,0.167223,0.170295,0.172029,0.185792,0.187465,0.188785,0.189795,0.204455,0.205073,0.215723,0.217711,0.222328,0.23395,0.235886,0.236911,0.237596,0.240718,0.243215,0.256922,0.268439,0.276086,0.282517,0.29557,0.296139,0.305507,0.317163,0.322504,0.330545,0.341629,0.345867,0.359374,0.372779,0.38476,0.384877,0.390165,0.393731,0.402648,0.415276,0.42477,0.436043,0.449363,0.451365,0.459933,0.461788,0.470567,0.483529,0.48737,0.492758,0.505256,0.508002,0.512459,0.519376,0.529434,0.54083,0.541342,0.553696,0.557895,0.571073,0.580164,0.589523,0.59107,0.594665,0.600997,0.607725,0.620279,0.621482,0.621882,0.624784,0.627706,0.630722,0.633984,0.647267,0.651219,0.663741,0.666741,0.678291,0.683839,0.697841,
0.698227,0.70118,0.703759,0.711355,0.725795,0.730471,0.743733,0.751269,0.756924,0.767437,0.781852,0.795679,0.806056,0.819629,0.833364,0.834138,0.838157,0.846164,0.854398,0.862477,0.865375,0.868303,0.88172,0.884266,0.8873,0.900513,0.90071,0.903955,0.919307,0.930296,0.931082,0.933894,0.944744,0.945792,0.958412,0.964364,0.967658,0.968505,0.968676,0.982612,0.990252,1.003829,1.010033,1.016176,1.026579,1.028165,1.028741,1.031429,1.032351,1.046859,1.059887,1.063307,1.075445,1.077639,1.087475,1.100735,1.103288,1.109419,1.121777,1.134354,1.13996,1.147013,1.156786,1.169788,1.177836,1.179014,1.192061,1.198151,1.211383,1.222821,1.223508,1.237086,1.249603,1.251243,1.251694,1.252724,1.253927,1.262066,1.264785,1.269575,1.282244,1.295683,1.309108,1.311984,1.32489,1.328942,1.335515,1.345613,1.350867,1.356351,1.362689,1.37518,1.386426,1.401315,1.414573,1.429464,1.442954,1.443723,1.446081,1.457133,
1.470973,1.483283,1.484159,1.485233,1.496291,1.497168,1.510223,1.523486,1.524293,1.524586,1.529558,1.531636,1.545266,1.558672,1.566103,1.579521,1.592387,1.592678,1.598464,1.598734,1.6073,1.607828,1.609455,1.610526,1.615973,1.619742,1.625142,1.630327,1.636452,1.640662,1.640959,1.643132,1.646353,1.647231,1.653362,1.658862,1.667556,1.674196,1.674863,1.688592,1.689728,1.690039,1.692173,1.692646,1.694718,1.702519,1.708634,1.722011,1.728559,1.732538,1.745949,1.74922,1.762801,1.767678,1.776424,1.789676,1.797592,1.80049,1.809351,1.809742,1.8113,1.817792,1.827475,1.8317,1.832083,1.841329,1.855052,1.864359,1.873399,1.874716,1.87543,1.882335,1.896698,1.903528,1.918274,1.920629,1.923333,1.932155,1.935579,1.947531,1.952682,1.959845,1.96624,1.980062,1.992787,1.999468,2.011416,2.024423,2.034806,2.047695,2.048877,2.049556,2.057178,2.070736,2.071673,2.073631,2.087357,2.08865,2.098209,2.103075,
2.104852,2.105913,2.116928,2.134013,2.136766,2.137686,2.139138,2.14607,2.148588,2.160589,2.16835,2.184938,2.200089,2.200358,2.201689,2.21536,2.230509,2.232999,2.233631,2.245789,2.246283,2.247097,2.260928,2.27468,2.286598,2.300777,2.303114,2.305916,2.308925,2.323418,2.333798,2.347594,2.356609,2.362879,2.371891,2.377237,2.394502,2.408268,2.408525,2.410455,2.424826,2.426444,2.43983,2.444909,2.458952,2.459826,2.467315,2.477431,2.486863,2.492276,2.500545,2.515127,2.51985,2.533516,2.534353,2.535578,2.536739,2.540202,2.549646,2.555923,2.564331,2.564543,2.564853,2.574442,2.587989,2.594939,2.596248,2.61021,2.612725,2.6131,2.618719,2.63463,2.640878,2.647554,2.652971,2.65387,2.662204,2.664562,2.669958,2.672674,2.676346,2.676778,2.677085,2.677525,2.678502,2.683802,2.696878,2.697111,2.71064,2.715465,2.72853,2.740984,2.754807,2.75538,2.758599,2.771951,2.776375,2.781642,2.795378,2.809983,
2.819942,2.824417,2.837236,2.838329,2.838932,2.853,2.862674,2.865217,2.881383,2.886022,2.897574,2.912636,2.925634,2.939819,2.941395,2.95581,2.962404,2.975778,2.976559,2.987863,2.988701,2.992107,2.997546,3.009385,3.022122,3.025429,3.02761,3.034442,3.047896,3.056354,3.058307,3.05927,3.062124,3.068444,3.076868,3.084333,3.097826,3.104019,3.117018,3.125412,3.1336,3.140142,3.143504,3.155678,3.165691,3.166082,3.180505,3.190096,3.196079,3.20935,3.221149,3.222935,3.23657,3.237738,3.239617,3.240108,3.254048,3.260759,3.273415,3.278671,3.279466,3.284489,3.29719,3.303083,3.316276,3.328666,3.33632,3.350559,3.355669,3.36769,3.378609,3.382839,3.390546,3.392743,3.406504,3.407036,3.409128,3.411726,3.412791,3.426746,3.429709,3.431637,3.43474,3.44897,3.454462,3.468762,3.470084,3.480206,3.485048,3.495075,3.496008,3.509189,3.513758,3.52796,3.605193,3.608484,3.621981,3.623833,3.641134,3.651644,
